,Label,Text
4959,0,Why didn't u call on your lunch?
3984,0,Nationwide auto centre (or something like that) on Newport road. I liked them there
1643,0,Sleeping nt feeling well
4277,0,Can you please send me my aunty's number
3055,0,What happened to our yo date?
4895,0,Convey my regards to him
2863,1,Adult 18 Content Your video will be with you shortly
3443,1,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
3833,0,Ok.
389,1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
4495,0,Man this bus is so so so slow. I think you're gonna get there before me
2159,0,I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.
2922,0,"Yo, any way we could pick something up tonight?"
4750,0,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
1439,0,"Arms fine, how's Cardiff and uni? "
1569,0,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
2182,0,Ok.
3337,0,Then u go back urself lor...
4014,0,Ok.
3907,0,Went fast asleep dear.take care.
1275,0,Let me know how to contact you. I've you settled in a room. Lets know you are ok.
4004,0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
4515,0,"Sure, whenever you show the fuck up &gt;:("
880,1,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
1532,0,Oh dang! I didn't mean o send that to you! Lol!
1326,0,Yeah jay's sort of a fucking retard
4581,0,Hi ....My engagement has been fixd on  &lt;#&gt; th of next month. I know its really shocking bt....hmm njan vilikkam....t ws al of a sudn;-(.
4553,0,"SYMPTOMS when U are in love: ""1.U like listening songs 2.U get stopped where u see the name of your beloved 3.U won't get angry when your"
1760,0,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
5419,0,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
